Category ,Accepted /Rejected,Comment
SWOT,Rejected,Please work on the strategies to match strength and opportunities and decrease threats. 
SWOT,Rejected,"Incomplete assignment submitted. This is only one page, you have to do the 2pages of the assignment and submit as a pdf file."
SWOT,Rejected,You should write down strategies to convert all weaknesses to strengths. 
SWOT,Rejected,Your SWOT should be detailed and specific and relevant to your goal. 
SWOT,Rejected, Your strategies must be specific and be implementable in life to help you achieve your goal. You got the concept. Put more effort and redo.
RIASEC,Accepted,Well Done. It looks good. Always be aware of who you are while choosing your career.
RIASEC,Rejected,"1. Please use the template given and upload the file. All components of the assignment are not there. Though you have done well, careers is not there. Please follow the template as it is."
RIASEC,Rejected,2. Please fill all the sections of the assignment. The occupations are empty.
RIASEC,Rejected,3.Please only add careers to your assignment that are recommended after the test. Choose from the list that comes after the test only.
RIASEC,Rejected,"4. please upload RIASEC scores ,your format is perfect."
RIASEC,Rejected,5.Please take a look at the given link and submit the scores of RIASEC test with Holland codes . Here you explained what is RIASEC code but required is scores of test.
RIASEC,Rejected,6.Please upload Holland codes according to templet. Only top 3 scores are Holland codes.
MC_LinkedIn,Accepted,Filled out all scores in Q2 and is part of Kalpana Network
MC_LinkedIn,Accepted,Apply the learnings from the LinkedIn Masterclass to make your LinkedIn profile better.
MC_LinkedIn,Rejected,You are not a part of Kalpana Network. Please sign-in to your LinkedIn profile and join this group: https://www.linkedin.com/groups/8990044/
MC_LinkedIn,Rejected,Blank template
MC_LinkedIn,Rejected,Fill out all the scores in Q2
MC_LinkedIn,Rejected,"This looks like random numbers. Create your linkedin profile, wait for 2-3 days to get your SSI scores and input your actual scores here. Having a low score is completely acceptable. But please do not input random numbers. If you have questions, come to AMA/Workshop."
CV-Resume,Accepted,You are almost correct. Just bolden the keywords and do networking and add references!
CV-Resume,Accepted,Good but do remember to add LinkedIn profile link before applying to this CV
CV-Resume,Accepted,"Everything is ok, you just have to fix the minor alignment issues!"
CV-Resume,Accepted,Very Well Done.!
CV-Resume,Accepted,Very good! Just remove the blank page from the end!
CV-Resume,Accepted,"Good, remove the extra spaces between lines."
CV-Resume,Accepted,The bullet pointers used in the CV should be same throughout the CV. The CV must be submitted in pdf. 
CV-Resume,Accepted,"Good! Just one thing, you need to mention months in the work experience."
CV-Resume,Rejected,"Please use ONLY the template file that is given to make the CV. Download the file, and put your details in them. Use the checklist provided with the template to complete your CV. This is the most important thing for your career, so make your CV using a COMPUTER. Add references to your CV."
CV-Resume,Rejected,Experience and Project Section should be written and explained in detail. Add more in detail any project or any experiment that you loved doing.
CV-Resume,Rejected,Please write or explain in more detail any achievements and certifications you have adieved. Explain each one in more detail. GO for it.!
CV-Resume,Rejected,Please write in more details the Skills acquired - both through college experiments or through online courses. Write more about your technical skills
CV-Resume,Rejected,The formatting is all wrong. Please use the formatting tips in the checklist. Use the Template as it is. Check the example CVs from the MasterClass
CV-Resume,Rejected,LinkedIn Link is broken and not working. Please upload only a PDF for the assignment.
CV-Resume,Rejected,"In award and recognitions, don't bolden the whole sentence."
CV-Resume,Rejected,"There are major alignment issues, that need to be corrected! Watch the masterclass video and do corrections using the checklist provided! "
CV-Resume,Rejected,"Please use ONLY the template file that is given to make the CV. Download the file, and put your details in them. Use the checklist provided with the template to complete your CV."
CV-Resume,Rejected,"The automatic resume screening software used in all corporates will immediately reject this resume. Having two columns is a big problem, as it only reads info from one column. We strongly recommend you to use the resume template provided and to please watch the masterclass to understand the logic behind it."
CV-Resume,Rejected,"The CV must be submitted in pdf, not word format."
CV-Resume,Rejected,The extra-curricular activities needs to be more detailed 
CV-Resume,Rejected,Don't bolden the whole sentence.
CV-Resume,Rejected,Remove the checklist from your CV. 
CV-Resume,Rejected,LinkedIn link is not working. 
CV-Resume,Rejected,The CV must be accommodated within 2pages by adjusting the extra spaces between lines. 
CV-Resume,Rejected,"Do it for yourself. No need to submit that, as it was your last chance for submission."
CV-Resume,Rejected,"Watch the masterclass video and do corrections using the checklist provided! Also do it in a computer, as this is one of the most important things of your career!"
CV-Resume,Rejected,"Do it in a computer, as this is one of the most important things of your career!"
CV-Resume,Rejected,Wrong file format!
CV-Resume,Rejected,"You have not added references, please add references"
CV-Resume,Rejected,Use ONLY the Vigyanshaala template and make the CV. 
CV-Resume,Rejected,This assignment is not supposed to be submitted here. Please submit the assignment in Correct module ! 
IDP CAP,Accepted,Your Milestones are good and can be made much better. Think more about Goals are and WHAT the Milestones are in more detail. That will help you in getting prepared and giving you more confidence
IDP CAP,Accepted,"Your Milestones are good and can be made much better. Think more about Goals are and WHAT the Milestones are in more diverse fashion. Rather than completely focusing on only one thing like Marks, focus on o1-2 other things along with it, like internships and projects."
IDP CAP,Accepted,In the Acquired Hard Skills section of the First Page: Please list down the techical and hard skills only.
IDP CAP,Rejected,Please write the Goal.! The Goals are missing
IDP CAP,Rejected,No goal B
IDP CAP,Rejected,Milestones for both Goals are exactly the same. They must have overlap but must differ slightly and can not be exactly the same steps.
IDP CAP,Rejected,Milestones are not clearly written. What are the Milestones? They should go one step to next step in time. Please re-write the milestones and the steps within the milestones. Different Milestones and Steps can not happen at the same time. All things you will do at one point of time should be in the same step/milestone. Maintain a good chronology
IDP CAP,Rejected,"Write your Milestones in More Detail. Think exam names, exact percentage to obtain, names of exams to crack. "
IDP CAP,Rejected,"Do not copy from class examples, write the technical/hard skills that you are confident in, in interview they will ask questions accordingly"
IDP CAP,Rejected,Milestones are in very detail which is good. 
IDP CAP,Rejected,Think more about Goals and WHAT the Milestones are in more diverse fashion. 
IDP CAP,Rejected,"You have only explained your strength and opportunities, and not written how you will use strengths for different opportunities you have listed in SWOT. You will have to make a connection between your strength and opportunity. You do not have to list Strength and Opportunity, but make connections between the two. Please look at the examples and lectures again"
IDP CAP,Rejected,"You have only explained your threats and written your strengths and opportunities. You have to make connections between the strengths and opportunities with the threats. And say how you will decrease the threats. This is critical to show how you will decrease your threats using strength, opportunities. You do not have to list the various things down. You have write down connections to show how you will decrease your threat."
IDP CAP,Rejected,In the Acquired Hard Skills section of the First Page: Please list down the techical and hard skills only.
IDP CAP,Rejected,Milestones are not clearly written. What are the Milestones? They should go one step to next step in time. Please re-write the milestones and the steps within the milestones. Different Milestones and Steps can not happen at the same time. All things you will do at one point of time should be in the same step/milestone. Maintain a good chronology
IDP CAP,Rejected,Our Milestones should end at your Goal and not stop much before the Goal. Make your Milestones and Steps right upto the Goal
IDP CAP,Rejected,"Rather than completely focusing on only one thing, focus on o1-2 other things along with it, like internships and projects."
IDP CAP,Rejected," You do not only have to list Strength and Oppoortunity, but make connections between the two. Please look at the examples and lectures again"
IDP CAP,Rejected,"PhD is a course, not a career. "
IDP CAP,Rejected,You need to fix a long term career goal for Goal A. Goal B is fine. 
IDP CAP,Rejected,You need to fix a long term career goal for Goal B. Goal A is fine.
IDP CAP,Rejected,"Do it for yourself. No need to submit that, as it was your last chance for submission."
IDP CAP,Rejected,The strength and opportunities need to be more tailored as per your goals. 
IDP CAP,Rejected,"Milestones are too broad, try to set clear milestones. Milestones are not clearly written. "
IDP CAP,Rejected,What you have written is a part of the long term goal. You need to make the CAP for a long term career goal. Milestones need to be altered accordingly. 
IDP CAP,Rejected,The two goals are supposed to be two career goals. 
IDP CAP,Rejected,Mostly blank template submitted! 
IDP CAP,Rejected,This is way too generic. 
IDP CAP,Rejected,The chronology of the milestones is not right. The milestones and the steps within it don't match. Please work on your CAP seriously. 
IDP CAP,Rejected,This is an incomplete assignment and a very lazy attempt. Watch the recorded sessions and redo.
IDP CAP,Rejected,It has to be a stem Goal. It has to be specific. 
IDP CAP,Rejected,"You have written about courses you want to do. You need to make your CAP on two different career goals, not courses. "
IDP CAP,Rejected,"Your 3rd milestone is not up to the mark, please work on it and figure out how to make it better. Also, for both the goals, in 1st page you have to write the hard skills you have already acquired and 2nd page you have to write the skills, you want to learn, they must be different!!"
Planning Masters,Accepted,Apply for more exams !
Planning Masters,Accepted,Well done! 
Planning Masters,Accepted,"The first part of the assignment seems good, you have understood the concept of it."
Planning Masters,Accepted,This is good. You need to explore few more entrance exams that you can give. Do some more research. There are more universities that have special entrance exams.
Planning Masters,Accepted,This is good. Spend some more time finding more entrance exams that you can use for your preparation.
Planning Masters,Accepted,This is good. Just find out other exams that you can appear to get admission in the mentioned colleges.
Planning Masters,Rejected,"The colleges you have mentioned in top-tier, mid-range and safe-choice are donot not really fall in that range. Try finding some relevant ones and putting them in correct table."
Planning Masters,Rejected,This assignment is not supposed to be submitted here. Please submit the assignment in Correct module! Here you need to submit the assignment - Preparation for PG/Masters.
Planning Masters,Rejected,This is ok. But you need to have more clarity and more details. Watch the Masterclass and add more details.
Planning Masters,Rejected,"Also, IIT JAM is a Central exam, applicable for many colleges in India. You have mentioned it in State exam. Find some state exams. "
Planning Masters,Rejected,"Also the colleges you have written in mid-range have different entrance exams, find them and do the assignment again."
Planning Masters,Rejected,"Try to find some more college specific exams for the colleges of your choice, those will increase your chances of selection !"
Planning Masters,Rejected,"Find some state specific exams, these are central entrance exams that you have mentioned under state specific exams. Do some more research."
Planning Masters,Rejected,"You should try using online exam preparation platforms  - Unacademy, Adda247, Testbook, Physics wallah. "
Planning Masters,Rejected,NEET/NEET PG is an exam for undergraduate/postgraduate level entrance in medical fields. 
Planning Masters,Rejected,"Try to find some really good colleges for top tier, whose NIRF ranking are below 50."
Planning Masters,Rejected,"Do it for yourself. No need to submit that, as it was your last chance for submission."
Planning Masters,Rejected,This is half assignment. Please do the 2 pages of the assignment and submit!
